"id","plot","Clinicians_Understanding","Use_with_patient"
1,"Kaplan Meier(KM)","1","1"
1,"Difference in Survival","3","3"
1,"Mean Residual Life(MRL)","2","2"
1,"Difference in MRL","4","4"
2,"Kaplan Meier(KM)","1","1"
2,"Difference in Survival","2","2"
2,"Mean Residual Life(MRL)","3","3"
2,"Difference in MRL","4","4"
3,"Kaplan Meier(KM)","1","4"
3,"Difference in Survival","4","3"
3,"Mean Residual Life(MRL)","3","1"
3,"Difference in MRL","2","2"
4,"Kaplan Meier(KM)","1","1"
4,"Difference in Survival","4","4"
4,"Mean Residual Life(MRL)","2","2"
4,"Difference in MRL","3","3"
5,"Kaplan Meier(KM)","1","1"
5,"Difference in Survival","3","3"
5,"Mean Residual Life(MRL)","2","2"
5,"Difference in MRL","4","4"
6,"Kaplan Meier(KM)","4","4"
6,"Difference in Survival","3","3"
6,"Mean Residual Life(MRL)","2","2"
6,"Difference in MRL","1","1"
7,"Kaplan Meier(KM)","4","4"
7,"Difference in Survival","2","3"
7,"Mean Residual Life(MRL)","3","2"
7,"Difference in MRL","1","1"
8,"Kaplan Meier(KM)","4","4"
8,"Difference in Survival","2","2"
8,"Mean Residual Life(MRL)","1","1"
8,"Difference in MRL","3","3"
9,"Kaplan Meier(KM)","1","1"
9,"Difference in Survival","2","2"
9,"Mean Residual Life(MRL)","4","4"
9,"Difference in MRL","3","3"
10,"Kaplan Meier(KM)","4","3"
10,"Difference in Survival","2","4"
10,"Mean Residual Life(MRL)","3","2"
10,"Difference in MRL","1","1"
11,"Kaplan Meier(KM)","2","2"
11,"Difference in Survival","4","4"
11,"Mean Residual Life(MRL)","3","3"
11,"Difference in MRL","1","1"
12,"Kaplan Meier(KM)","1","1"
12,"Difference in Survival","2","2"
12,"Mean Residual Life(MRL)","3","3"
12,"Difference in MRL","4","4"
13,"Kaplan Meier(KM)","1","1"
13,"Difference in Survival","2","2"
13,"Mean Residual Life(MRL)","4","3"
13,"Difference in MRL","3","4"
14,"Kaplan Meier(KM)","1","1"
14,"Difference in Survival","2","3"
14,"Mean Residual Life(MRL)","3","2"
14,"Difference in MRL","4","4"
15,"Kaplan Meier(KM)","1","1"
15,"Difference in Survival","2","2"
15,"Mean Residual Life(MRL)","3","3"
15,"Difference in MRL","4","4"
16,"Kaplan Meier(KM)","1","1"
16,"Difference in Survival","2","2"
16,"Mean Residual Life(MRL)","3","3"
16,"Difference in MRL","4","4"
17,"Kaplan Meier(KM)","4","4"
17,"Difference in Survival","3","2"
17,"Mean Residual Life(MRL)","2","3"
17,"Difference in MRL","1","1"
18,"Kaplan Meier(KM)","4","4"
18,"Difference in Survival","3","3"
18,"Mean Residual Life(MRL)","2","2"
18,"Difference in MRL","1","1"
19,"Kaplan Meier(KM)","1","2"
19,"Difference in Survival","2","1"
19,"Mean Residual Life(MRL)","3","3"
19,"Difference in MRL","4","4"
20,"Kaplan Meier(KM)","1","1"
20,"Difference in Survival","2","2"
20,"Mean Residual Life(MRL)","3","3"
20,"Difference in MRL","4","4"
21,"Kaplan Meier(KM)","2","2"
21,"Difference in Survival","1","1"
21,"Mean Residual Life(MRL)","3","3"
21,"Difference in MRL","4","4"
22,"Kaplan Meier(KM)","1","1"
22,"Difference in Survival","2","2"
22,"Mean Residual Life(MRL)","4","4"
22,"Difference in MRL","3","3"
23,"Kaplan Meier(KM)","4","4"
23,"Difference in Survival","3","3"
23,"Mean Residual Life(MRL)","2","2"
23,"Difference in MRL","1","1"
24,"Kaplan Meier(KM)","1","1"
24,"Difference in Survival","2","2"
24,"Mean Residual Life(MRL)","3","3"
24,"Difference in MRL","4","4"
25,"Kaplan Meier(KM)","1","1"
25,"Difference in Survival","2","2"
25,"Mean Residual Life(MRL)","3","3"
25,"Difference in MRL","4","4"
26,"Kaplan Meier(KM)","1","1"
26,"Difference in Survival","2","2"
26,"Mean Residual Life(MRL)","3","3"
26,"Difference in MRL","4","4"
27,"Kaplan Meier(KM)","2","2"
27,"Difference in Survival","1","1"
27,"Mean Residual Life(MRL)","3","3"
27,"Difference in MRL","4","4"
28,"Kaplan Meier(KM)","2","4"
28,"Difference in Survival","3","3"
28,"Mean Residual Life(MRL)","1","1"
28,"Difference in MRL","4","2"
29,"Kaplan Meier(KM)","1","1"
29,"Difference in Survival","3","3"
29,"Mean Residual Life(MRL)","4","2"
29,"Difference in MRL","2","4"
30,"Kaplan Meier(KM)","2","1"
30,"Difference in Survival","1","2"
30,"Mean Residual Life(MRL)","3","3"
30,"Difference in MRL","4","4"
31,"Kaplan Meier(KM)","4","4"
31,"Difference in Survival","3","3"
31,"Mean Residual Life(MRL)","2","2"
31,"Difference in MRL","1","1"
32,"Kaplan Meier(KM)","1","2"
32,"Difference in Survival","4","1"
32,"Mean Residual Life(MRL)","2","4"
32,"Difference in MRL","3","3"
